,H0_standard_dz_0_003,standard_dz_0_003,H0_standard_dz_0_03,standard_dz_0_03,H0_corrected_dz_0_003,corrected_dz_0_003,H0_corrected_dz_0_03,corrected_dz_0_03,H0_perfz,perfz
0,60.0,0.0,60.0,4.627587218789425e-171,65.0,2.443650432576196e-61,60.0,7.168269317553585e-22,65.0,1.9895101587868193e-85
1,60.02002002002002,0.0,60.02002002002002,2.38277551416241e-170,65.01001001001,4.699125133379101e-61,60.02002002002002,1.4935096836004891e-21,65.01001001001,4.439449254100482e-85
2,60.04004004004004,0.0,60.04004004004004,1.220085231483406e-169,65.02002002002003,9.021171732812851e-61,60.04004004004004,3.0859944980557598e-21,65.02002002002003,9.889969298316573e-85
3,60.06006006006006,0.0,60.06006006006006,6.212696706658143e-169,65.03003003003003,1.728928176894705e-60,60.06006006006006,6.32378590468949e-21,65.03003003003003,2.199599963012045e-84
4,60.08008008008008,0.0,60.08008008008008,3.145991183879125e-168,65.04004004004004,3.3079509970035936e-60,60.08008008008008,1.2851554385970272e-20,65.04004004004004,4.883996877391988e-84
5,60.1001001001001,0.0,60.1001001001001,1.5842607132399657e-167,65.05005005005005,6.31843247656899e-60,60.1001001001001,2.5901939600038262e-20,65.05005005005005,1.0826547003730837e-83
6,60.12012012012012,0.0,60.12012012012012,7.933997404897716e-167,65.06006006006007,1.2048357599390358e-59,60.12012012012012,5.1773644539020733e-20,65.06006006006007,2.3960036137107485e-83
7,60.14014014014014,0.0,60.14014014014014,3.951465220271933e-166,65.07007007007007,2.2935838521374468e-59,60.14014014014014,1.0263293967827043e-19,65.07007007007007,5.293804359128188e-83
8,60.16016016016016,0.0,60.16016016016016,1.95717405768567e-165,65.08008008008008,4.358827906742659e-59,60.16016016016016,2.0177539102565348e-19,65.08008008008008,1.1676998430956711e-82
9,60.18018018018018,0.0,60.18018018018018,9.640740524406602e-165,65.09009009009009,8.269765699018392e-59,60.18018018018018,3.9341861959197862e-19,65.09009009009009,2.5714463825567142e-82
10,60.2002002002002,0.0,60.2002002002002,4.722864492899631e-164,65.10010010010011,1.5663367049655402e-58,60.2002002002002,7.607620856351139e-19,65.10010010010011,5.653360003532762e-82
11,60.22022022022022,0.0,60.22022022022022,2.3010138055669647e-163,65.11011011011011,2.9617305063891666e-58,60.22022022022022,1.458989192021096e-18,65.11011011011011,1.240848410853142e-81
12,60.24024024024024,0.0,60.24024024024024,1.1149518788242144e-162,65.12012012012012,5.5908070287161656e-58,60.24024024024024,2.7750234397611056e-18,65.12012012012012,2.719028340726964e-81
13,60.26026026026026,0.0,60.26026026026026,5.3730478166157e-162,65.13013013013013,1.0535910527200958e-57,60.26026026026026,5.234736023743066e-18,65.13013013013013,5.948283498644379e-81
14,60.28028028028028,0.0,60.28028028028028,2.575238774670199e-161,65.14014014014015,1.9821581877405203e-57,60.28028028028028,9.793518124846945e-18,65.14014014014015,1.299129676852129e-80
15,60.3003003003003,1.33e-322,60.3003003003003,1.2275835467510782e-160,65.15015015015015,3.7228305723288085e-57,60.3003003003003,1.817192123767761e-17,65.15015015015015,2.832671864750263e-80
16,60.32032032032032,3.2e-321,60.32032032032032,5.820039445373322e-160,65.16016016016016,6.980347058689997e-57,60.32032032032032,3.3441332608518555e-17,65.16016016016016,6.1662759393740136e-80
17,60.34034034034034,7.1057e-320,60.34034034034034,2.744395348956997e-159,65.17017017017017,1.3066209085927666e-56,60.34034034034034,6.103647770188621e-17,65.17017017017017,1.3400856714514962e-79
18,60.36036036036036,1.55934e-318,60.36036036036036,1.2871165467967592e-158,65.18018018018019,2.4416932056900786e-56,60.36036036036036,1.1048953732587529e-16,65.18018018018019,2.907535957092949e-79
19,60.38038038038038,3.3985644e-317,60.38038038038038,6.004047369753328e-158,65.1901901901902,4.555138128464203e-56,60.38038038038038,1.9837247083025363e-16,65.1901901901902,6.297969426622077e-79
20,60.4004004004004,7.3588269e-316,60.4004004004004,2.7856720055964544e-157,65.2002002002002,8.48361661436217e-56,60.4004004004004,3.5324259950296416e-16,65.2002002002002,1.361942979903682e-78
21,60.42042042042042,1.582993068e-314,60.42042042042042,1.2855237033279586e-156,65.2102102102102,1.5773555800404726e-55,60.42042042042042,6.238772475267007e-16,65.2102102102102,2.9403581121477805e-78
22,60.44044044044044,3.38303723744e-313,60.44044044044044,5.900639109065399e-156,65.22022022022023,2.927839945999966e-55,60.44044044044044,1.0928554905481307e-15,65.22022022022023,6.337594584567128e-78
23,60.46046046046046,7.1827709151e-312,60.46046046046046,2.6939622142343397e-155,65.23023023023023,5.4254313667362596e-55,60.46046046046046,1.8987469407389017e-15,65.23023023023023,1.363740085547876e-77
24,60.48048048048048,1.515077491222e-310,60.48048048048048,1.2233819405148454e-154,65.24024024024024,1.003668970258651e-54,60.48048048048048,3.2720171729658713e-15,65.24024024024024,2.9296901086883943e-77
25,60.5005005005005,3.174939044216126e-309,60.5005005005005,5.526057453125611e-154,65.25025025025025,1.8536002027849444e-54,60.5005005005005,5.592573857932219e-15,65.25025025025025,6.283399746169095e-77
26,60.52052052052052,6.609883019170256e-308,60.52052052052052,2.4828823940056186e-153,65.26026026026027,3.41751990142666e-54,60.52052052052052,9.481111022011972e-15,65.26026026026027,1.3453975205619958e-76
27,60.54054054054054,1.3671309431885529e-306,60.54054054054054,1.1096575985267902e-152,65.27027027027027,6.290360225416244e-54,60.54054054054054,1.5942702168579467e-14,65.27027027027027,2.876003987916912e-76
