,CI_standard_dz_0_003,Frac_in_CI_standard_dz_0_003,CI_standard_dz_0_03,Frac_in_CI_standard_dz_0_03,CI_corrected_dz_0_003,Frac_in_CI_corrected_dz_0_003,CI_corrected_dz_0_03,Frac_in_CI_corrected_dz_0_03,CI_perfz,Frac_in_CI_perfz
0,0.00019766571306303256,0.009900990099009901,1.4602963861422317e-05,0.009900990099009901,0.005095602253143763,0.009900990099009901,0.019263934070866275,0.009900990099009901,0.006264133633960882,0.009900990099009901
1,0.0009556327383833206,0.019801980198019802,2.3444921935726317e-05,0.019801980198019802,0.006867450180722255,0.019801980198019802,0.02708517595212446,0.019801980198019802,0.017476962541561225,0.019801980198019802
2,0.001210416471181493,0.0297029702970297,2.779578669252921e-05,0.0297029702970297,0.022914271598667765,0.0297029702970297,0.027267736154160473,0.0297029702970297,0.046198920880943115,0.0297029702970297
3,0.0022336707191918516,0.039603960396039604,2.872729227491695e-05,0.039603960396039604,0.030428720088189195,0.039603960396039604,0.02791397239491767,0.039603960396039604,0.05928035249106373,0.039603960396039604
4,0.006161830071018453,0.04950495049504951,4.008213510608683e-05,0.04950495049504951,0.03214448849631036,0.04950495049504951,0.030669413735298027,0.04950495049504951,0.05962538504424816,0.04950495049504951
5,0.007818892025387793,0.0594059405940594,5.1261452043294685e-05,0.0594059405940594,0.04996393252333727,0.0594059405940594,0.04063626956094975,0.0594059405940594,0.07069087841160623,0.0594059405940594
6,0.00802956145827606,0.06930693069306931,5.5773437066467636e-05,0.06930693069306931,0.05605331073189107,0.06930693069306931,0.07644298995559819,0.06930693069306931,0.08111485985353419,0.06930693069306931
7,0.008610591297800166,0.07920792079207921,7.956300124828112e-05,0.07920792079207921,0.05858001899961161,0.07920792079207921,0.07894570042571557,0.07920792079207921,0.09044295804890405,0.07920792079207921
8,0.016186591357452984,0.0891089108910891,8.313801945445854e-05,0.0891089108910891,0.07022716274320383,0.0891089108910891,0.0808258754387684,0.0891089108910891,0.10247967663564904,0.0891089108910891
9,0.02039572943437162,0.09900990099009901,8.673407185489386e-05,0.09900990099009901,0.07059612403154265,0.09900990099009901,0.08342854781889525,0.09900990099009901,0.10945990296010917,0.09900990099009901
10,0.026395055791549604,0.10891089108910891,0.00010037745416612091,0.10891089108910891,0.07367925178757323,0.10891089108910891,0.08962727808862982,0.10891089108910891,0.13947393002156097,0.10891089108910891
11,0.03061945958770319,0.1188118811881188,0.00010478294408606008,0.1188118811881188,0.08675079509833042,0.1188118811881188,0.09862635115772246,0.1188118811881188,0.14664359568418367,0.1188118811881188
12,0.031666483570353635,0.12871287128712872,0.00012053917650124024,0.12871287128712872,0.0881513825781382,0.12871287128712872,0.11862709855225007,0.12871287128712872,0.15139897000300093,0.12871287128712872
13,0.03650348042107554,0.13861386138613863,0.00013717086838854005,0.13861386138613863,0.0979794312436963,0.13861386138613863,0.12011999352984754,0.13861386138613863,0.16265863432362215,0.13861386138613863
14,0.036937939855243615,0.1485148514851485,0.00014098290944180363,0.1485148514851485,0.11467843629142564,0.1485148514851485,0.12759387090863114,0.1485148514851485,0.1679148795796991,0.1485148514851485
15,0.03961729348353481,0.15841584158415842,0.00015317046130073435,0.15841584158415842,0.12436959782670136,0.15841584158415842,0.1287375083778409,0.15841584158415842,0.18877635274953264,0.15841584158415842
16,0.04635073307157807,0.16831683168316833,0.00019024400674820378,0.16831683168316833,0.12505368223988306,0.16831683168316833,0.16214642575256147,0.16831683168316833,0.1944298770210676,0.16831683168316833
17,0.05162977068812775,0.1782178217821782,0.00019367913579411812,0.1782178217821782,0.12858768542241775,0.1782178217821782,0.17701538438057035,0.1782178217821782,0.19487112785317712,0.1782178217821782
18,0.05508717050433533,0.18811881188118812,0.0001958738133151082,0.18811881188118812,0.1659394064096161,0.18811881188118812,0.1896818245557679,0.18811881188118812,0.21741174065276675,0.18811881188118812
19,0.056532771258053754,0.19801980198019803,0.00020321166573833882,0.19801980198019803,0.17102998661458133,0.19801980198019803,0.1907449630271176,0.19801980198019803,0.23396763969151585,0.19801980198019803
20,0.05664657910558869,0.2079207920792079,0.00021476629499478188,0.2079207920792079,0.20130643779511104,0.2079207920792079,0.1996814270682562,0.2079207920792079,0.23663217107548393,0.2079207920792079
21,0.07095247281371843,0.21782178217821782,0.00021660452942033986,0.21782178217821782,0.20151563721037757,0.21782178217821782,0.21464994738384566,0.21782178217821782,0.24844340985385419,0.21782178217821782
22,0.07393905620138214,0.22772277227722773,0.00024091704014820168,0.22772277227722773,0.2125681441874485,0.22772277227722773,0.21485032649744715,0.22772277227722773,0.24992513087175525,0.22772277227722773
23,0.07455456294906464,0.2376237623762376,0.00026544062594233744,0.2376237623762376,0.24739808156875082,0.2376237623762376,0.22459964881096176,0.2376237623762376,0.25839944877042165,0.2376237623762376
24,0.07995713090426128,0.24752475247524752,0.00028914060103472607,0.24752475247524752,0.2478746208177107,0.24752475247524752,0.23414518880116877,0.24752475247524752,0.2605603576509512,0.24752475247524752
25,0.08060448031842198,0.25742574257425743,0.0003061882925558546,0.25742574257425743,0.2572613884890903,0.25742574257425743,0.25224526010832604,0.25742574257425743,0.2649826605039354,0.25742574257425743
26,0.08256232835816193,0.26732673267326734,0.00032366685160052416,0.26732673267326734,0.26482273253457694,0.26732673267326734,0.2674887811951523,0.26732673267326734,0.26554310080939664,0.26732673267326734
27,0.08900011171115234,0.27722772277227725,0.00033799830041479856,0.27722772277227725,0.28640502463808865,0.27722772277227725,0.27299255732423416,0.27722772277227725,0.2753130747536809,0.27722772277227725
28,0.09404438270140475,0.2871287128712871,0.0003502032771384802,0.2871287128712871,0.31039747767103115,0.2871287128712871,0.2771789169708673,0.2871287128712871,0.2821057579404985,0.2871287128712871
29,0.09809679070992655,0.297029702970297,0.0003580551806754014,0.297029702970297,0.31315979581974945,0.297029702970297,0.2775785777027644,0.297029702970297,0.2872285985007703,0.297029702970297
30,0.10313795246420379,0.3069306930693069,0.0003832285183686275,0.3069306930693069,0.32869786040686033,0.3069306930693069,0.2912498746902269,0.3069306930693069,0.3017189714603439,0.3069306930693069
31,0.10373082824838173,0.31683168316831684,0.0003899847774119724,0.31683168316831684,0.33043066946383715,0.31683168316831684,0.29267227694291487,0.31683168316831684,0.3023369078915369,0.31683168316831684
32,0.11062494700699024,0.32673267326732675,0.0004187837103368404,0.32673267326732675,0.34788992232394744,0.32673267326732675,0.29704292791447906,0.32673267326732675,0.30544684206813405,0.32673267326732675
33,0.11142123800765673,0.33663366336633666,0.00042398939496382645,0.33663366336633666,0.35008057322926184,0.33663366336633666,0.2989644795034434,0.33663366336633666,0.31487930752777576,0.33663366336633666
34,0.11142301481658647,0.3465346534653465,0.0004581788688180026,0.3465346534653465,0.36068059536018976,0.3465346534653465,0.2993781199654139,0.3465346534653465,0.31988452457346794,0.3465346534653465
35,0.1220877142998024,0.3564356435643564,0.0004603995285713785,0.3564356435643564,0.36665126122841407,0.3564356435643564,0.31153510299101017,0.3564356435643564,0.35051485900692286,0.3564356435643564
36,0.12936179069832227,0.36633663366336633,0.0004818577724117191,0.36633663366336633,0.3761885833251635,0.36633663366336633,0.3126131953713315,0.36633663366336633,0.35874517977047354,0.36633663366336633
37,0.13443931759235647,0.37623762376237624,0.0004930528514796344,0.37623762376237624,0.4011685653078069,0.37623762376237624,0.3280182791983833,0.37623762376237624,0.359062982655336,0.37623762376237624
38,0.13696963104948345,0.38613861386138615,0.0005074109642224634,0.38613861386138615,0.4026112815334919,0.38613861386138615,0.3409069028555047,0.38613861386138615,0.3778873142306922,0.38613861386138615
39,0.13901616520017218,0.39603960396039606,0.0005106742213262445,0.39603960396039606,0.4100881947652703,0.39603960396039606,0.34738407478246436,0.39603960396039606,0.38591860764216135,0.39603960396039606
40,0.14167821791638044,0.40594059405940597,0.00057049767148114,0.40594059405940597,0.41173875162583723,0.40594059405940597,0.36314599069213527,0.40594059405940597,0.39427275853552685,0.40594059405940597
41,0.14392522842896163,0.4158415841584158,0.0005905201674642798,0.4158415841584158,0.41595878007266424,0.4158415841584158,0.3730140698854136,0.4158415841584158,0.39761299440224246,0.4158415841584158
42,0.14579708932628666,0.42574257425742573,0.0005983575578590116,0.42574257425742573,0.41985785940758674,0.42574257425742573,0.39401782921459044,0.42574257425742573,0.40362692249086735,0.42574257425742573
43,0.15330181904275889,0.43564356435643564,0.0006004419240872548,0.43564356435643564,0.4295360133292613,0.43564356435643564,0.41702630250759204,0.43564356435643564,0.4070896952430878,0.43564356435643564
44,0.1559819233674123,0.44554455445544555,0.0006529570853059131,0.44554455445544555,0.435752001358112,0.44554455445544555,0.41721383604014556,0.44554455445544555,0.41368047103903294,0.44554455445544555
45,0.156704993666001,0.45544554455445546,0.0006727455028271627,0.45544554455445546,0.46632482089311333,0.45544554455445546,0.43037328586425927,0.45544554455445546,0.4167361975334276,0.45544554455445546
46,0.15718202236284165,0.46534653465346537,0.0006963998867636687,0.46534653465346537,0.47370540853801746,0.46534653465346537,0.43279216755250105,0.46534653465346537,0.42057397392968515,0.46534653465346537
47,0.19835873655907998,0.4752475247524752,0.0007292468867791634,0.4752475247524752,0.48005548006585963,0.4752475247524752,0.4349268543900553,0.4752475247524752,0.43651019625452364,0.4752475247524752
48,0.2003202507136247,0.48514851485148514,0.000766245584423032,0.48514851485148514,0.4899073674968555,0.48514851485148514,0.436870475540293,0.48514851485148514,0.4377331493190189,0.48514851485148514
49,0.20869729741015405,0.49504950495049505,0.0007732484653316435,0.49504950495049505,0.4921890539584455,0.49504950495049505,0.46410140681601236,0.49504950495049505,0.4705343184828711,0.49504950495049505
50,0.21064132566477978,0.504950495049505,0.0007882098861339568,0.504950495049505,0.5196854394623233,0.504950495049505,0.466512101177416,0.504950495049505,0.48031406978803703,0.504950495049505
51,0.2126390164756259,0.5148514851485149,0.0007947436719162959,0.5148514851485149,0.5307511682255593,0.5148514851485149,0.48047121803227566,0.5148514851485149,0.48811905701969605,0.5148514851485149
52,0.21988942894079594,0.5247524752475248,0.0007998590199909856,0.5247524752475248,0.5367057763100147,0.5247524752475248,0.500239401756646,0.5247524752475248,0.49678740484359885,0.5247524752475248
53,0.2334139207923008,0.5346534653465347,0.0008382016084206307,0.5346534653465347,0.5510109260311723,0.5346534653465347,0.5382552724082215,0.5346534653465347,0.49846927776018884,0.5346534653465347
54,0.24505068579664518,0.5445544554455446,0.0008470724779369511,0.5445544554455446,0.5622582902805335,0.5445544554455446,0.5389397511771178,0.5445544554455446,0.5124104333723255,0.5445544554455446
55,0.25958039147624445,0.5544554455445545,0.000866291376434737,0.5544554455445545,0.5690828838869414,0.5544554455445545,0.5442789896743612,0.5544554455445545,0.5203746771796008,0.5544554455445545
56,0.2630158028713051,0.5643564356435643,0.0008850143920395139,0.5643564356435643,0.5814594132999963,0.5643564356435643,0.5477200850386298,0.5643564356435643,0.5262863463025979,0.5643564356435643
57,0.26699552065027393,0.5742574257425742,0.0009477496561087881,0.5742574257425742,0.5893381797912847,0.5742574257425742,0.5838039226683498,0.5742574257425742,0.5341658243238891,0.5742574257425742
58,0.2700254547505962,0.5841584158415841,0.0010059907421617984,0.5841584158415841,0.5951903824299649,0.5841584158415841,0.5928104747926646,0.5841584158415841,0.5459141613411429,0.5841584158415841
59,0.27162607046107534,0.594059405940594,0.0010740359965596925,0.594059405940594,0.6003550267757184,0.594059405940594,0.5958315686954584,0.594059405940594,0.558602957393747,0.594059405940594
60,0.2923291282094028,0.6039603960396039,0.001109458885645134,0.6039603960396039,0.6005281593972829,0.6039603960396039,0.5978178069637938,0.6039603960396039,0.5608236939715342,0.6039603960396039
61,0.29409922211834405,0.6138613861386139,0.0012074174075995842,0.6138613861386139,0.600972922532714,0.6138613861386139,0.6072999811074297,0.6138613861386139,0.5661789615770783,0.6138613861386139
62,0.29635324473260743,0.6237623762376238,0.0012944363439911437,0.6237623762376238,0.6149504479184568,0.6237623762376238,0.6119284930864517,0.6237623762376238,0.5960051081217785,0.6237623762376238
63,0.3046669125174181,0.6336633663366337,0.0013234485625246532,0.6336633663366337,0.6202124994698189,0.6336633663366337,0.6633843971213369,0.6336633663366337,0.6543706258126295,0.6336633663366337
64,0.30905554019747544,0.6435643564356436,0.0013376750426283286,0.6435643564356436,0.6303677664014345,0.6435643564356436,0.6667122329066248,0.6435643564356436,0.6551372238873663,0.6435643564356436
65,0.333334764262084,0.6534653465346535,0.0013437166644767586,0.6534653465346535,0.6508016635110707,0.6534653465346535,0.673551973904985,0.6534653465346535,0.6762639596293643,0.6534653465346535
66,0.3378206922302658,0.6633663366336634,0.0015636599082015585,0.6633663366336634,0.6543606922424371,0.6633663366336634,0.6965885017675133,0.6633663366336634,0.6811961465024751,0.6633663366336634
67,0.36193881699510194,0.6732673267326733,0.0015723633728398918,0.6732673267326733,0.660075573670406,0.6732673267326733,0.6978127872442661,0.6732673267326733,0.6884779357727854,0.6732673267326733
68,0.3659178346968591,0.6831683168316832,0.001803000768185097,0.6831683168316832,0.6701836999321434,0.6831683168316832,0.7026967929120898,0.6831683168316832,0.6988466305118808,0.6831683168316832
69,0.38139830121810375,0.693069306930693,0.001853462617430041,0.693069306930693,0.670465002409925,0.693069306930693,0.7367015953121338,0.693069306930693,0.7181453592027955,0.693069306930693
70,0.3814156110657425,0.7029702970297029,0.0019516286018628041,0.7029702970297029,0.6727800728877991,0.7029702970297029,0.7523937843111528,0.7029702970297029,0.7201991887264031,0.7029702970297029
71,0.3831604848209207,0.7128712871287128,0.0019769678164686575,0.7128712871287128,0.6774917622838598,0.7128712871287128,0.7582941454592999,0.7128712871287128,0.7226728746934927,0.7128712871287128
